"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
"73" "1" "2" "2" "1" "1" "1" "1" "1" "1" "4" "2" "1" "2" "2" "5" "3" "2" "5" "1" "2" "2" "3" "3" "1" "1" "4" "4" "2" "2" "2" "5" "1" "1" "4" "1" "2" "1" "1" "1" "1" "3" "2" "2" "4" "3" "1" "2" "1" "1" "1" "1" "5" "2" "5" "2" "1" "22" "21" "26" "F"
"74" "2" "1" "1" "1" "1" "1" "2" "4" "5" "2" "2" "3" "4" "4" "2" "2" "4" "4" "3" "4" "2" "3" "4" "1" "3" "1" "2" "3" "2" "4" "4" "4" "2" "1" "2" "4" "4" "4" "3" "1" "2" "3" "1" "3" "1" "3" "1" "1" "3" "1" "2" "1" "1" "1" "1" "2" "22" "14" "11" "F"
"75" "1" "2" "3" "2" "1" "1" "4" "4" "5" "2" "2" "4" "5" "2" "2" "3" "5" "2" "2" "5" "4" "2" "3" "3" "5" "2" "4" "4" "4" "2" "5" "5" "3" "2" "3" "4" "4" "3" "2" "4" "5" "2" "2" "1" "5" "4" "2" "4" "3" "2" "1" "1" "2" "1" "1" "2" "23" "19" "29" "F"
"76" "2" "1" "2" "1" "1" "2" "5" "1" "4" "4" "4" "4" "5" "2" "4" "2" "4" "5" "1" "5" "4" "2" "4" "1" "4" "4" "2" "4" "5" "2" "5" "2" "4" "5" "2" "5" "5" "4" "2" "5" "4" "2" "4" "4" "5" "4" "4" "4" "4" "1" "4" "3" "3" "5" "4" "5" "22" "37" "22" "M"
"77" "2" "5" "5" "5" "5" "5" "4" "2" "5" "3" "2" "3" "5" "1" "4" "2" "5" "4" "3" "5" "5" "2" "5" "2" "4" "4" "3" "4" "4" "2" "2" "5" "5" "2" "3" "5" "5" "5" "3" "5" "4" "5" "5" "3" "4" "4" "4" "5" "5" "2" "5" "2" "4" "5" "4" "5" "25" "41" "0" "M"
"78" "3" "1" "1" "1" "1" "1" "4" "1" "5" "4" "3" "5" "5" "1" "4" "1" "5" "3" "1" "5" "5" "2" "3" "1" "5" "4" "4" "5" "4" "4" "4" "4" "4" "1" "1" "5" "5" "5" "1" "5" "3" "1" "4" "3" "5" "3" "1" "4" "3" "5" "3" "4" "2" "4" "2" "4" "23" "32" "21" "M"
"79" "4" "1" "2" "1" "1" "1" "4" "2" "4" "2" "1" "3" "2" "4" "2" "1" "5" "3" "3" "2" "3" "2" "3" "2" "3" "4" "2" "3" "4" "2" "1" "4" "3" "2" "3" "1" "4" "3" "2" "5" "5" "3" "4" "2" "4" "3" "4" "3" "4" "2" "3" "2" "3" "2" "2" "3" "24" "28" "28" "M"
"80" "5" "2" "3" "1" "1" "1" "2" "5" "4" "4" "3" "2" "2" "1" "5" "3" "4" "5" "2" "3" "3" "1" "4" "4" "4" "5" "2" "2" "2" "1" "5" "5" "4" "3" "2" "2" "4" "4" "1" "5" "4" "4" "4" "3" "3" "3" "4" "4" "5" "5" "3" "4" "4" "4" "3" "5" "22" "41" "33" "F"
"81" "2" "1" "1" "1" "1" "1" "4" "4" "4" "3" "4" "5" "4" "2" "2" "1" "4" "4" "3" "5" "4" "4" "4" "2" "4" "1" "3" "4" "3" "4" "1" "5" "4" "2" "2" "3" "5" "5" "5" "5" "3" "3" "5" "2" "4" "5" "2" "5" "4" "1" "4" "1" "1" "1" "1" "5" "23" "25" "16" "F"
"82" "5" "2" "1" "1" "1" "1" "4" "1" "5" "2" "1" "3" "5" "1" "2" "1" "5" "2" "1" "5" "2" "3" "2" "1" "2" "4" "1" "4" "5" "3" "1" "5" "4" "1" "1" "5" "4" "2" "1" "5" "4" "3" "3" "4" "5" "4" "3" "4" "3" "3" "1" "1" "3" "5" "2" "3" "22" "28" "31" "M"
"83" "2" "5" "4" "4" "5" "4" "4" "1" "4" "4" "2" "4" "4" "2" "2" "2" "4" "4" "4" "3" "4" "4" "3" "1" "4" "2" "1" "3" "3" "2" "1" "5" "4" "2" "2" "4" "4" "5" "4" "4" "2" "5" "5" "3" "5" "4" "3" "4" "3" "4" "3" "4" "3" "5" "4" "5" "20" "38" "22" "M"
"84" "3" "3" "3" "2" "1" "3" "4" "5" "4" "2" "3" "3" "3" "2" "4" "4" "4" "3" "3" "3" "2" "2" "2" "4" "4" "4" "2" "2" "2" "5" "4" "4" "4" "1" "2" "3" "3" "4" "3" "4" "4" "4" "4" "2" "3" "5" "3" "4" "3" "4" "3" "2" "2" "3" "4" "3" "22" "31" "31" "M"
"85" "4" "1" "1" "1" "1" "1" "3" "3" "5" "1" "3" "5" "5" "4" "2" "3" "5" "1" "3" "5" "4" "1" "3" "1" "5" "1" "2" "5" "5" "2" "1" "3" "3" "1" "4" "5" "5" "5" "4" "5" "4" "1" "2" "5" "5" "4" "3" "3" "5" "4" "5" "1" "3" "3" "3" "5" "21" "35" "23" "M"
"86" "5" "1" "2" "2" "1" "1" "3" "2" "5" "3" "2" "4" "5" "4" "2" "1" "5" "2" "2" "4" "5" "3" "2" "4" "4" "1" "2" "4" "3" "2" "1" "4" "4" "1" "2" "4" "4" "2" "1" "5" "4" "4" "2" "5" "5" "3" "3" "4" "5" "3" "4" "3" "4" "2" "3" "5" "22" "36" "26" "F"
"87" "3" "1" "1" "2" "1" "1" "5" "2" "5" "3" "3" "5" "5" "2" "4" "1" "4" "3" "3" "4" "3" "2" "3" "1" "5" "3" "3" "3" "3" "2" "3" "4" "3" "3" "2" "5" "5" "4" "4" "5" "3" "3" "4" "2" "5" "3" "2" "3" "3" "3" "2" "2" "2" "4" "3" "2" "23" "26" "12" "F"
"88" "3" "1" "3" "1" "1" "1" "5" "3" "5" "5" "2" "3" "5" "3" "5" "3" "4" "3" "1" "5" "3" "3" "5" "1" "5" "2" "2" "5" "4" "2" "2" "3" "4" "3" "2" "5" "5" "4" "2" "5" "4" "3" "3" "3" "5" "5" "3" "5" "5" "5" "5" "3" "4" "4" "5" "5" "21" "44" "26" "M"
"89" "4" "2" "2" "1" "1" "2" "2" "4" "4" "2" "2" "5" "4" "1" "2" "2" "4" "2" "2" "2" "4" "1" "2" "4" "4" "2" "1" "4" "4" "4" "4" "5" "4" "1" "1" "2" "5" "4" "2" "5" "2" "2" "1" "4" "4" "4" "4" "4" "5" "5" "5" "4" "5" "4" "5" "4" "22" "45" "31" "M"
"90" "3" "2" "2" "1" "1" "1" "4" "2" "5" "2" "3" "2" "4" "2" "3" "4" "4" "2" "2" "4" "3" "2" "4" "4" "4" "1" "2" "2" "2" "4" "1" "5" "4" "2" "1" "2" "4" "5" "4" "4" "4" "5" "4" "3" "3" "2" "2" "4" "2" "4" "2" "3" "2" "5" "4" "4" "29" "32" "19" "M"
"91" "2" "1" "2" "1" "1" "1" "3" "2" "4" "2" "3" "3" "3" "2" "2" "2" "3" "1" "1" "4" "4" "3" "3" "1" "4" "1" "1" "3" "3" "3" "1" "5" "3" "1" "1" "3" "4" "4" "4" "5" "3" "5" "4" "3" "5" "5" "1" "4" "3" "1" "3" "1" "1" "1" "1" "4" "26" "20" "0" "F"
"92" "3" "2" "2" "1" "1" "2" "3" "2" "4" "3" "3" "2" "3" "2" "4" "1" "4" "2" "2" "4" "2" "1" "4" "2" "4" "2" "2" "2" "2" "2" "1" "1" "4" "3" "2" "4" "3" "4" "2" "5" "3" "4" "5" "3" "4" "4" "4" "4" "5" "5" "5" "2" "4" "2" "3" "5" "29" "39" "30" "F"
"93" "2" "2" "1" "1" "1" "1" "5" "1" "4" "2" "4" "2" "4" "2" "4" "4" "4" "2" "4" "4" "2" "2" "3" "1" "4" "4" "5" "2" "4" "4" "4" "5" "2" "1" "4" "4" "2" "5" "5" "2" "4" "4" "5" "2" "2" "5" "2" "4" "4" "2" "4" "1" "2" "1" "1" "4" "21" "25" "12" "F"
"94" "5" "3" "5" "5" "5" "5" "4" "2" "5" "4" "5" "4" "4" "2" "3" "2" "4" "5" "2" "4" "4" "3" "2" "1" "3" "4" "3" "3" "4" "3" "4" "5" "2" "2" "2" "4" "5" "4" "4" "4" "3" "3" "4" "2" "4" "3" "3" "4" "4" "2" "4" "2" "3" "5" "2" "4" "28" "33" "17" "M"
"95" "2" "1" "2" "3" "2" "1" "2" "4" "5" "4" "4" "3" "5" "2" "1" "5" "5" "1" "2" "4" "5" "2" "2" "2" "4" "1" "4" "4" "5" "4" "1" "5" "4" "1" "3" "2" "4" "4" "3" "5" "4" "4" "2" "3" "4" "3" "2" "5" "5" "3" "4" "1" "5" "2" "3" "5" "23" "35" "0" "M"
"96" "2" "4" "3" "5" "5" "5" "4" "1" "5" "3" "2" "5" "4" "2" "5" "2" "5" "2" "1" "5" "4" "2" "3" "1" "4" "1" "3" "3" "3" "3" "1" "5" "4" "2" "1" "4" "5" "4" "2" "5" "4" "4" "5" "4" "4" "5" "2" "4" "5" "3" "4" "1" "3" "5" "1" "5" "21" "33" "18" "F"
"97" "3" "2" "2" "1" "1" "1" "4" "2" "5" "4" "4" "4" "4" "2" "2" "2" "4" "4" "3" "5" "4" "4" "4" "1" "4" "2" "2" "3" "2" "2" "4" "4" "3" "3" "2" "4" "4" "5" "3" "5" "4" "4" "5" "2" "4" "5" "2" "4" "4" "3" "2" "1" "4" "2" "4" "4" "30" "30" "19" "F"
"98" "2" "2" "1" "1" "1" "1" "4" "4" "5" "2" "3" "2" "4" "3" "1" "4" "5" "2" "4" "4" "2" "4" "3" "2" "5" "1" "5" "4" "2" "4" "4" "5" "4" "1" "4" "2" "5" "5" "3" "5" "5" "4" "5" "4" "5" "3" "1" "5" "4" "4" "4" "1" "3" "1" "2" "4" "21" "29" "21" "F"
"99" "3" "1" "2" "1" "1" "1" "4" "3" "5" "3" "3" "4" "4" "2" "2" "1" "4" "3" "2" "4" "4" "2" "3" "2" "2" "4" "3" "2" "4" "2" "3" "4" "4" "2" "2" "5" "4" "2" "2" "4" "4" "3" "4" "4" "4" "3" "3" "3" "4" "4" "3" "1" "4" "3" "4" "4" "23" "33" "24" "M"
"100" "3" "5" "5" "5" "5" "5" "4" "1" "4" "3" "4" "2" "4" "1" "4" "2" "4" "4" "1" "4" "4" "3" "4" "1" "4" "4" "4" "3" "4" "4" "5" "4" "4" "4" "3" "4" "5" "5" "4" "4" "3" "4" "4" "2" "4" "4" "3" "4" "4" "4" "4" "1" "3" "2" "4" "4" "21" "33" "28" "F"
"101" "3" "4" "4" "4" "5" "4" "4" "3" "4" "2" "4" "4" "5" "1" "4" "2" "4" "4" "4" "5" "2" "2" "4" "1" "2" "4" "3" "4" "4" "2" "4" "4" "4" "2" "2" "4" "4" "5" "4" "4" "4" "2" "4" "2" "2" "4" "3" "4" "3" "4" "4" "2" "3" "4" "3" "5" "21" "35" "17" "F"
"102" "3" "1" "1" "1" "1" "1" "2" "2" "4" "2" "3" "4" "3" "3" "2" "2" "3" "4" "4" "3" "3" "2" "3" "3" "3" "2" "2" "3" "4" "2" "4" "4" "4" "2" "3" "5" "5" "5" "2" "4" "3" "3" "4" "3" "3" "4" "3" "5" "5" "3" "4" "2" "4" "3" "2" "5" "20" "36" "18" "F"
"103" "3" "2" "2" "1" "1" "1" "4" "4" "5" "4" "3" "3" "4" "2" "4" "1" "5" "2" "3" "4" "4" "2" "4" "1" "5" "2" "1" "2" "4" "5" "2" "4" "5" "1" "2" "4" "5" "4" "1" "5" "4" "4" "5" "1" "5" "3" "2" "5" "5" "4" "5" "4" "4" "5" "4" "4" "21" "42" "0" "M"
"104" "1" "1" "2" "1" "1" "1" "4" "2" "5" "2" "2" "4" "4" "2" "2" "1" "4" "2" "2" "4" "4" "1" "2" "1" "4" "2" "2" "5" "4" "2" "4" "4" "4" "2" "2" "5" "5" "4" "2" "4" "4" "3" "5" "2" "5" "4" "2" "4" "4" "5" "4" "2" "3" "5" "4" "4" "22" "37" "17" "M"
"105" "2" "5" "5" "5" "5" "5" "4" "4" "4" "3" "4" "5" "5" "4" "3" "2" "5" "4" "3" "5" "4" "4" "5" "1" "4" "2" "4" "4" "2" "3" "3" "4" "5" "2" "5" "5" "5" "5" "5" "5" "5" "5" "5" "4" "5" "5" "3" "5" "4" "1" "4" "1" "3" "1" "2" "4" "35" "28" "0" "F"
"106" "4" "4" "4" "5" "3" "4" "4" "4" "4" "4" "4" "4" "4" "4" "3" "3" "3" "3" "3" "3" "3" "3" "3" "3" "4" "4" "4" "4" "2" "4" "5" "3" "4" "4" "5" "5" "5" "4" "3" "4" "3" "4" "4" "3" "4" "4" "5" "5" "5" "5" "5" "1" "5" "1" "5" "5" "21" "42" "23" "M"
"107" "4" "3" "2" "2" "1" "2" "4" "4" "3" "2" "4" "1" "2" "4" "2" "3" "4" "1" "3" "4" "2" "3" "2" "4" "2" "1" "2" "3" "2" "4" "3" "4" "2" "1" "2" "4" "3" "4" "3" "5" "3" "4" "4" "4" "4" "3" "1" "3" "2" "4" "1" "1" "2" "4" "2" "2" "22" "22" "0" "M"
"108" "3" "1" "1" "1" "1" "1" "4" "4" "5" "3" "2" "3" "4" "1" "4" "2" "5" "4" "1" "5" "3" "2" "3" "4" "4" "4" "3" "4" "4" "4" "5" "4" "4" "2" "2" "4" "5" "5" "3" "5" "5" "4" "5" "3" "5" "3" "3" "4" "3" "4" "3" "2" "3" "2" "4" "4" "21" "32" "26" "M"
"109" "2" "1" "1" "1" "1" "1" "5" "5" "5" "4" "4" "4" "4" "1" "5" "4" "5" "5" "3" "4" "3" "3" "5" "3" "5" "4" "2" "3" "4" "4" "1" "5" "5" "4" "2" "3" "3" "5" "1" "1" "1" "1" "1" "4" "1" "1" "5" "5" "5" "5" "5" "5" "5" "5" "5" "5" "20" "50" "28" "F"
"110" "3" "1" "2" "1" "1" "1" "4" "1" "5" "4" "2" "5" "5" "1" "5" "1" "4" "4" "1" "4" "4" "2" "4" "1" "4" "5" "1" "3" "4" "2" "5" "2" "4" "4" "1" "2" "4" "4" "2" "5" "4" "4" "4" "3" "4" "2" "4" "5" "5" "5" "5" "4" "4" "5" "5" "5" "22" "47" "31" "M"
"111" "3" "2" "3" "1" "1" "1" "3" "5" "5" "4" "5" "4" "5" "2" "2" "2" "5" "3" "3" "4" "4" "2" "3" "4" "5" "2" "2" "3" "5" "2" "2" "3" "5" "2" "2" "5" "5" "3" "1" "5" "4" "5" "4" "3" "4" "3" "4" "4" "4" "5" "4" "2" "3" "2" "4" "4" "20" "36" "27" "F"
"112" "3" "1" "2" "1" "1" "1" "4" "2" "4" "4" "3" "2" "4" "2" "5" "2" "4" "3" "3" "4" "2" "4" "4" "2" "4" "3" "2" "2" "4" "4" "5" "5" "5" "4" "2" "4" "5" "5" "3" "5" "5" "5" "3" "3" "4" "4" "4" "5" "5" "5" "5" "1" "3" "1" "2" "5" "20" "36" "25" "F"
"113" "4" "3" "4" "3" "4" "3" "4" "5" "4" "3" "2" "3" "4" "2" "3" "1" "3" "1" "5" "5" "2" "2" "2" "3" "4" "3" "1" "4" "2" "2" "4" "5" "3" "2" "4" "5" "5" "3" "4" "4" "3" "4" "4" "2" "3" "5" "2" "5" "4" "3" "2" "2" "3" "2" "3" "3" "24" "29" "23" "M"
"114" "1" "1" "1" "1" "1" "1" "4" "2" "5" "5" "1" "3" "5" "2" "4" "4" "4" "2" "3" "5" "4" "2" "3" "2" "4" "1" "3" "2" "3" "2" "2" "5" "4" "1" "2" "4" "3" "4" "2" "5" "5" "4" "5" "2" "4" "4" "2" "5" "4" "5" "4" "2" "3" "2" "4" "4" "20" "35" "21" "F"
"115" "4" "3" "2" "2" "1" "2" "2" "3" "4" "2" "2" "3" "2" "4" "1" "2" "3" "1" "4" "3" "4" "4" "2" "4" "2" "1" "1" "2" "2" "3" "1" "4" "2" "1" "1" "2" "2" "4" "2" "4" "3" "3" "3" "3" "4" "4" "4" "4" "5" "4" "4" "4" "5" "4" "3" "3" "19" "40" "27" "F"
"116" "3" "2" "2" "1" "1" "1" "4" "3" "4" "2" "4" "3" "4" "3" "2" "2" "4" "2" "2" "3" "2" "2" "3" "2" "4" "2" "2" "4" "3" "4" "1" "3" "4" "2" "2" "3" "4" "4" "3" "5" "4" "3" "3" "4" "4" "3" "2" "4" "4" "5" "3" "2" "3" "3" "4" "5" "21" "35" "28" "F"
"117" "2" "1" "1" "2" "1" "1" "3" "3" "3" "4" "4" "2" "2" "2" "4" "3" "4" "4" "2" "4" "2" "3" "4" "4" "4" "2" "2" "2" "4" "3" "4" "5" "4" "4" "1" "3" "3" "5" "5" "5" "5" "5" "5" "3" "3" "4" "3" "3" "2" "5" "3" "2" "1" "5" "5" "3" "21" "32" "23" "F"
"118" "2" "1" "2" "1" "1" "1" "5" "1" "5" "4" "4" "4" "5" "2" "3" "1" "5" "3" "2" "4" "4" "3" "3" "1" "2" "4" "2" "4" "4" "2" "5" "5" "4" "3" "2" "5" "5" "5" "2" "5" "3" "3" "4" "4" "4" "5" "2" "4" "4" "3" "2" "1" "1" "2" "3" "4" "22" "26" "21" "F"
"119" "4" "2" "2" "1" "2" "2" "4" "1" "5" "4" "4" "2" "2" "2" "4" "2" "5" "4" "1" "2" "2" "2" "4" "1" "4" "2" "2" "1" "4" "2" "5" "5" "5" "5" "1" "2" "4" "5" "2" "5" "4" "5" "5" "2" "4" "4" "2" "4" "1" "4" "1" "1" "1" "1" "1" "4" "25" "20" "25" "F"
"120" "2" "1" "2" "2" "1" "2" "4" "2" "4" "4" "5" "3" "4" "2" "2" "1" "4" "4" "2" "4" "2" "4" "3" "1" "2" "2" "4" "3" "2" "4" "4" "5" "2" "2" "3" "3" "4" "3" "2" "4" "3" "2" "5" "4" "5" "3" "2" "4" "3" "2" "3" "1" "3" "2" "2" "5" "21" "27" "11" "F"
"121" "2" "1" "1" "2" "2" "1" "4" "4" "4" "4" "2" "4" "4" "3" "2" "2" "4" "4" "2" "5" "4" "3" "2" "2" "5" "2" "4" "4" "4" "2" "4" "4" "4" "4" "3" "4" "4" "5" "4" "5" "4" "3" "4" "2" "4" "4" "3" "4" "4" "4" "4" "2" "3" "2" "2" "4" "22" "32" "19" "F"
"122" "1" "2" "2" "2" "2" "2" "2" "4" "3" "2" "5" "2" "1" "2" "4" "4" "3" "1" "4" "2" "2" "4" "4" "4" "4" "1" "4" "2" "2" "4" "2" "5" "2" "1" "3" "2" "2" "5" "5" "3" "4" "5" "5" "2" "2" "5" "3" "4" "5" "3" "5" "1" "4" "1" "2" "5" "25" "33" "24" "F"
"123" "4" "1" "3" "2" "1" "1" "4" "4" "5" "3" "2" "3" "4" "2" "3" "2" "3" "2" "3" "4" "3" "2" "3" "4" "3" "2" "4" "2" "2" "4" "4" "4" "4" "2" "3" "3" "4" "5" "4" "4" "3" "2" "5" "3" "3" "3" "4" "4" "4" "4" "4" "3" "4" "4" "4" "4" "20" "39" "28" "F"
"124" "3" "2" "2" "2" "1" "1" "2" "5" "2" "1" "4" "3" "3" "3" "1" "4" "4" "2" "4" "3" "4" "3" "2" "3" "3" "2" "2" "2" "2" "3" "1" "5" "3" "1" "3" "4" "4" "3" "3" "2" "2" "2" "3" "3" "2" "1" "3" "3" "4" "3" "4" "2" "4" "3" "2" "5" "24" "33" "21" "M"
"125" "2" "2" "1" "1" "1" "1" "3" "4" "3" "3" "4" "3" "3" "4" "4" "3" "3" "2" "3" "3" "2" "4" "3" "2" "3" "1" "3" "2" "2" "4" "2" "4" "3" "2" "3" "3" "3" "4" "4" "4" "3" "4" "5" "2" "3" "4" "3" "3" "4" "4" "4" "2" "3" "2" "2" "3" "20" "30" "24" "F"
"126" "2" "2" "3" "1" "1" "2" "4" "1" "4" "3" "4" "4" "4" "4" "4" "2" "2" "4" "5" "3" "2" "4" "3" "4" "4" "2" "3" "3" "4" "5" "4" "5" "2" "2" "4" "4" "3" "5" "3" "3" "4" "5" "3" "2" "4" "4" "4" "4" "4" "4" "4" "2" "4" "5" "3" "3" "21" "37" "24" "M"
"127" "3" "1" "3" "1" "1" "1" "5" "3" "5" "4" "4" "4" "3" "3" "4" "2" "4" "3" "2" "4" "3" "2" "3" "3" "4" "4" "3" "4" "2" "3" "2" "5" "3" "1" "2" "4" "5" "5" "5" "5" "4" "4" "4" "2" "4" "4" "1" "2" "1" "2" "2" "1" "1" "1" "1" "2" "26" "14" "0" "F"
"128" "4" "1" "1" "1" "1" "1" "4" "3" "5" "3" "2" "5" "5" "4" "2" "2" "5" "4" "2" "5" "4" "2" "3" "1" "4" "2" "2" "5" "4" "4" "1" "2" "5" "1" "1" "5" "5" "5" "4" "5" "5" "3" "4" "4" "5" "4" "3" "4" "4" "3" "4" "1" "3" "1" "3" "4" "28" "30" "0" "M"
"129" "3" "2" "2" "1" "1" "1" "4" "2" "4" "3" "3" "5" "4" "3" "4" "1" "4" "4" "3" "4" "3" "3" "5" "1" "5" "4" "3" "4" "3" "4" "2" "4" "4" "3" "3" "3" "5" "5" "4" "5" "4" "4" "5" "3" "3" "3" "3" "4" "3" "1" "3" "1" "3" "2" "1" "4" "20" "25" "20" "F"
"130" "2" "2" "1" "1" "1" "2" "4" "2" "4" "4" "2" "3" "4" "2" "4" "1" "3" "3" "1" "4" "2" "3" "3" "1" "4" "5" "1" "4" "4" "2" "4" "5" "4" "4" "1" "3" "4" "5" "2" "4" "4" "3" "4" "1" "3" "4" "2" "3" "3" "4" "4" "1" "3" "2" "4" "3" "20" "29" "19" "F"
"131" "4" "1" "1" "1" "1" "1" "4" "1" "4" "3" "2" "4" "5" "1" "4" "1" "4" "5" "2" "5" "3" "1" "3" "1" "4" "4" "2" "5" "3" "1" "4" "2" "4" "4" "2" "4" "4" "4" "3" "5" "4" "4" "5" "5" "5" "4" "3" "5" "4" "3" "4" "3" "3" "5" "4" "5" "31" "39" "30" "M"
"132" "4" "1" "1" "1" "1" "1" "2" "1" "5" "2" "3" "4" "5" "2" "4" "1" "4" "2" "2" "5" "3" "3" "2" "1" "4" "2" "3" "4" "3" "2" "3" "2" "5" "2" "2" "4" "5" "3" "3" "5" "4" "4" "3" "4" "5" "4" "2" "5" "5" "5" "5" "1" "3" "2" "3" "5" "20" "36" "22" "F"
"133" "3" "2" "3" "2" "1" "1" "4" "1" "4" "4" "4" "3" "4" "3" "4" "1" "4" "3" "2" "5" "3" "4" "3" "1" "5" "1" "3" "3" "2" "4" "3" "5" "3" "2" "2" "3" "2" "4" "2" "4" "3" "2" "4" "1" "3" "3" "2" "4" "2" "4" "2" "2" "2" "5" "2" "4" "22" "29" "16" "F"
"134" "5" "1" "2" "1" "1" "2" "4" "2" "4" "4" "4" "2" "3" "2" "4" "3" "2" "2" "4" "4" "2" "4" "4" "2" "4" "3" "4" "4" "2" "4" "4" "4" "2" "2" "4" "4" "4" "4" "2" "4" "3" "4" "4" "2" "3" "4" "2" "2" "2" "1" "2" "2" "2" "2" "2" "4" "22" "21" "16" "F"
"135" "4" "2" "2" "2" "2" "2" "3" "4" "4" "2" "4" "3" "4" "4" "2" "2" "3" "4" "4" "4" "4" "3" "3" "2" "3" "3" "2" "3" "3" "4" "3" "3" "3" "2" "3" "4" "4" "5" "3" "4" "4" "4" "5" "3" "4" "5" "2" "3" "4" "3" "3" "2" "3" "4" "3" "4" "21" "31" "19" "M"
"136" "2" "2" "1" "1" "1" "1" "4" "2" "5" "4" "4" "3" "5" "5" "4" "3" "5" "4" "2" "4" "2" "4" "5" "2" "4" "1" "4" "4" "3" "5" "1" "4" "4" "2" "2" "4" "4" "5" "3" "4" "4" "4" "4" "3" "3" "4" "1" "4" "3" "1" "3" "1" "1" "5" "1" "4" "20" "24" "0" "F"
"137" "3" "1" "1" "1" "1" "1" "5" "2" "4" "4" "2" "3" "2" "2" "4" "2" "4" "4" "4" "4" "4" "2" "5" "1" "2" "5" "2" "4" "4" "2" "5" "5" "4" "4" "2" "4" "5" "5" "1" "4" "4" "2" "4" "2" "4" "2" "4" "4" "5" "4" "5" "2" "3" "5" "4" "4" "22" "40" "30" "M"
"138" "4" "1" "2" "1" "1" "1" "4" "1" "5" "4" "3" "3" "5" "4" "4" "1" "5" "2" "2" "5" "4" "4" "3" "1" "4" "1" "4" "5" "4" "4" "1" "4" "3" "2" "2" "4" "4" "4" "4" "5" "4" "4" "4" "5" "5" "2" "2" "5" "4" "1" "4" "2" "2" "4" "2" "5" "21" "31" "23" "F"
"139" "3" "2" "2" "1" "1" "1" "2" "3" "5" "3" "4" "4" "5" "4" "3" "2" "4" "2" "2" "5" "4" "4" "4" "2" "4" "1" "2" "4" "4" "4" "5" "5" "4" "2" "3" "4" "4" "5" "4" "5" "3" "4" "5" "1" "5" "4" "2" "3" "4" "1" "3" "1" "3" "1" "1" "4" "21" "23" "19" "F"
"140" "2" "2" "2" "1" "1" "1" "3" "3" "5" "3" "3" "3" "4" "4" "4" "2" "4" "3" "2" "5" "4" "5" "5" "1" "4" "2" "2" "3" "3" "3" "4" "5" "5" "2" "2" "3" "3" "4" "3" "4" "4" "5" "5" "2" "4" "3" "2" "3" "2" "5" "2" "3" "2" "3" "3" "3" "21" "28" "18" "F"
"141" "5" "1" "1" "1" "1" "1" "5" "3" "5" "5" "2" "3" "4" "2" "5" "5" "5" "5" "1" "5" "5" "4" "1" "4" "5" "2" "1" "5" "5" "2" "5" "5" "5" "5" "1" "1" "5" "1" "5" "1" "1" "5" "1" "1" "1" "1" "3" "5" "5" "4" "5" "1" "2" "5" "2" "5" "21" "37" "28" "F"
"142" "3" "1" "3" "2" "1" "1" "4" "2" "4" "2" "2" "3" "4" "2" "4" "2" "4" "2" "2" "4" "3" "2" "4" "1" "3" "2" "2" "2" "4" "2" "5" "5" "4" "4" "2" "3" "4" "5" "4" "4" "4" "2" "5" "2" "3" "4" "3" "4" "4" "1" "4" "1" "2" "2" "2" "3" "20" "26" "21" "F"
"143" "2" "1" "1" "1" "1" "1" "4" "2" "5" "2" "5" "4" "5" "2" "2" "4" "4" "4" "2" "5" "1" "4" "3" "1" "5" "4" "5" "2" "2" "4" "1" "5" "2" "2" "5" "4" "4" "4" "4" "5" "2" "4" "4" "4" "4" "3" "2" "4" "4" "1" "4" "1" "2" "1" "1" "4" "21" "24" "19" "F"
"144" "3" "1" "2" "1" "1" "1" "5" "1" "4" "4" "2" "4" "4" "1" "4" "1" "4" "4" "2" "4" "2" "2" "3" "1" "5" "4" "2" "2" "3" "2" "5" "4" "4" "4" "2" "4" "4" "5" "4" "4" "4" "4" "4" "3" "5" "5" "4" "4" "4" "2" "4" "1" "4" "2" "1" "4" "25" "30" "27" "F"
"145" "4" "2" "3" "2" "1" "1" "4" "3" "4" "4" "3" "4" "5" "3" "4" "2" "4" "2" "3" "4" "5" "2" "2" "1" "4" "2" "3" "4" "4" "2" "4" "5" "4" "2" "4" "5" "4" "2" "1" "5" "2" "2" "3" "3" "5" "3" "3" "3" "2" "3" "4" "2" "3" "4" "3" "2" "27" "29" "0" "F"
"146" "1" "1" "1" "1" "2" "1" "4" "4" "3" "5" "4" "4" "3" "4" "4" "3" "4" "4" "5" "4" "4" "3" "4" "4" "4" "5" "4" "3" "4" "4" "3" "4" "5" "4" "4" "3" "4" "4" "5" "4" "4" "4" "4" "2" "2" "5" "4" "4" "3" "4" "3" "2" "3" "3" "3" "3" "20" "32" "0" "F"
